Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740529457462,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,28430.937377929688,183817.63482666016,134179.47650146484,7244.164978027344,16913207296,18253611008,9182420992,0
198,1740529457464,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,28430.956420898438,183818.28497314453,134180.10247802734,7244.164978027344,16913207296,18253611008,9186267136,0
200,1740529457663,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,39.5151252746582,23.723533630371094,16.590774536132813,5.740242004394531,52.34685516357422,7.029815673828125,54.32194900512695,6.711570739746094,21.17235565185547,5.069160461425781,96.14302825927734,6.734489440917969,28431.177612304688,183826.74383544922,134188.16650390625,7244.164978027344,16913207296,18253611008,9202741248,0
200,1740529457863,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.607040405273438,2.07550048828125,24.131866455078125,1.0028152465820313,13.331268310546875,2.2597885131835938,93.18132019042969,2.1684188842773438,80.81261444091797,0.7394180297851563,25.350341796875,2.789031982421875,28431.43829345703,183834.58837890625,134195.61724853516,7244.164978027344,16913207296,18253611008,9321615360,0
200,1740529458064,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,9.806686401367188,1.6718826293945313,95.50408935546875,1.2974166870117188,7.894630432128906,45.396087646484375,36.26948547363281,2.4983367919921875,68.34388732910156,0.6044540405273438,13.757247924804688,4.760589599609375,28431.712036132813,183843.63623046875,134204.27490234375,7244.164978027344,16913207296,18253611008,9310638080,0
200,1740529458264,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,54.29763412475586,1.8151092529296875,54.745548248291016,1.2318191528320313,1.6056900024414063,92.7398681640625,60.859031677246094,1.4746170043945313,60.46211242675781,2.836517333984375,59.14556884765625,1.8494796752929688,28431.993286132813,183854.5362548828,134214.79583740234,7244.164978027344,16913207296,18253611008,9325432832,0
200,1740529458464,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,36.44003677368164,0,0,0,63.298072814941406,0,1.7103729248046875,0,100,0,0,0,28432.160583496094,183862.93829345703,134222.859375,7244.164978027344,16913207296,18253611008,9325428736,0
199,1740529458664,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.3725967407226563,0.5934371948242188,9.579292297363281,0.8664398193359375,99.93791198730469,0.21514892578125,6.2640533447265625,0.28527069091796875,100,0.063934326171875,5.21697998046875,1.1158981323242188,28432.343017578125,183871.7012939453,134231.2172241211,7244.1920166015625,16913207296,18253611008,9330638848,0
200,1740529458865,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.5837249755859375,0.066131591796875,0.43732452392578125,0.0188446044921875,84.08311462402344,0.20879364013671875,8.977821350097656,0.0222930908203125,100,0,18.84869384765625,0.5581893920898438,28432.533630371094,183880.2514038086,134239.42559814453,7244.1920166015625,16913207296,18253611008,9351905280,0
200,1740529459065,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,31.238601684570313,39.072452545166016,27.791603088378906,34.65757751464844,55.83549118041992,61.32107162475586,54.642906188964844,29.652694702148438,68.21367645263672,13.987037658691406,45.91044998168945,28.71075439453125,28432.903930664063,183891.17602539063,134249.9291381836,7244.1920166015625,16913207296,18253611008,9390637056,0
