Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740540876040,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,49.52802658081055,42.27500534057617,45.3922233581543,41.58758544921875,83.27239227294922,38.17244338989258,82.61507415771484,40.52886199951172,48.5809440612793,39.34971237182617,54.159950256347656,51.76276397705078,36683.86700439453,253444.88037109375,194468.29907226563,7514.2144775390625,16913207296,18253611008,9210458112,0
197,1740540876043,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,14.239364624023438,0,100,58.71269226074219,52.844940185546875,0,13.189735412597656,11.350440979003906,29.743362426757813,0,25.040557861328125,0,36683.87744140625,253445.16955566406,194468.5576171875,7514.2144775390625,16913207296,18253611008,9210482688,0
199,1740540876241,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,13.441825866699219,2.0527725219726563,54.24220657348633,0,55.63943862915039,1.7559814453125,17.473541259765625,3.1735610961914063,16.643966674804688,0.41100311279296875,37.641441345214844,0,36684.101989746094,253452.16333007813,194475.18725585938,7514.2144775390625,16913207296,18253611008,9249255424,0
199,1740540876441,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.7229537963867188,0.41757965087890625,0.6239013671875,3.3702392578125,100,0.3344879150390625,1.6951141357421875,2.0813674926757813,2.4156494140625,0.6320419311523438,2.9573593139648438,0.43466949462890625,36684.35076904297,253457.2735595703,194479.88623046875,7514.241027832031,16913207296,18253611008,9421570048,0
199,1740540876641,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.766937255859375,1.6857376098632813,1.658355712890625,1.7759857177734375,63.09362030029297,4.4572601318359375,41.06156539916992,1.8159561157226563,5.137596130371094,1.3069381713867188,2.4688034057617188,1.5076141357421875,36684.49755859375,253462.87506103516,194485.171875,7514.241027832031,16913207296,18253611008,9322209280,0
199,1740540876841,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.65020751953125,0,0,0,1.1495590209960938,0.05587005615234375,100,0,0.35179901123046875,0,0,0,36684.63464355469,253468.0220336914,194490.01171875,7514.241027832031,16913207296,18253611008,9321934848,0
200,1740540877041,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.7477645874023438,11.626052856445313,0.5929718017578125,1.1416091918945313,2.3295974731445313,1.837188720703125,100,0.05472564697265625,1.981231689453125,0.054779052734375,11.801338195800781,0.2889862060546875,36684.80242919922,253473.62481689453,194495.27661132813,7514.241027832031,16913207296,18253611008,9331765248,0
199,1740540877242,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.5863189697265625,3.2864227294921875,9.4500732421875,0.8911056518554688,3.9636688232421875,1.6658172607421875,100,0.12671661376953125,1.7093887329101563,0.1929931640625,2.2517852783203125,0.36617279052734375,36684.951232910156,253479.25231933594,194500.54498291016,7514.241027832031,16913207296,18253611008,9327468544,0
200,1740540877442,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.23772430419921875,0,0.191802978515625,0.253814697265625,1.814208984375,1.6875686645507813,100,0,1.8470382690429688,0,0.32952880859375,0.06856536865234375,36685.090393066406,253484.4132080078,194505.39190673828,7514.241027832031,16913207296,18253611008,9327108096,0
2,1740540877642,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.6090545654296875,1.2419509887695313,2.255035400390625,1.2920608520507813,6.1006622314453125,10.481239318847656,67.83180236816406,1.2043838500976563,4.478965759277344,1.8013458251953125,10.167457580566406,1.5055313110351563,36685.24792480469,253488.63311767578,194509.3306274414,7514.241027832031,16913207296,18253611008,9203654656,0
