Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740547743343,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,28.923736572265625,12.648628234863281,15.950241088867188,40.706912994384766,56.919471740722656,17.542015075683594,49.775657653808594,16.099594116210938,67.22001647949219,29.604736328125,48.49854278564453,33.309715270996094,41639.76531982422,27757.73699951172,225606.98986816406,7669.2325439453125,16913207296,18253611008,9206521856,0
198,1740547743345,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,41639.773986816406,27757.872619628906,225607.13037109375,7669.2325439453125,16913207296,18253611008,9207574528,0
200,1740547743543,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,11.483963012695313,8.052474975585938,16.8095703125,7.471549987792969,66.06806945800781,7.235420227050781,60.538818359375,4.716255187988281,20.472694396972656,5.8540802001953125,10.86224365234375,37.459564208984375,41640.000061035156,27764.358520507813,225613.2178955078,7669.257629394531,16913207296,18253611008,9245040640,0
200,1740547743743,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.96295166015625,0.11620330810546875,0.55084228515625,1.6677017211914063,100,0.035125732421875,3.9121932983398438,0.0772857666015625,2.12030029296875,0.18027496337890625,1.7613067626953125,0.1109161376953125,41640.242248535156,27769.33642578125,225617.80963134766,7669.257629394531,16913207296,18253611008,9357475840,0
200,1740547743944,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.5107879638671875,1.7597885131835938,2.7745361328125,2.0958175659179688,17.79322052001953,11.519065856933594,80.33494567871094,1.6664199829101563,5.6052398681640625,2.1239547729492188,3.3756027221679688,2.2502822875976563,41640.412170410156,27774.809448242188,225622.876953125,7669.257629394531,16913207296,18253611008,9314766848,0
200,1740547744144,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.595550537109375,0,0.2190399169921875,0,0,100,18.31298065185547,0,16.563766479492188,0.7502975463867188,0,0,41640.591857910156,27780.685913085938,225628.33349609375,7669.257629394531,16913207296,18253611008,9322090496,0
200,1740547744345,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.919708251953125,0.03392791748046875,1.3693695068359375,0.985321044921875,0.04644775390625,100,2.8017044067382813,0.3074188232421875,4.754638671875,0.5412063598632813,2.4036331176757813,0.0303802490234375,41640.734802246094,27786.379821777344,225633.6400756836,7669.257629394531,16913207296,18253611008,9323220992,0
200,1740547744545,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.7241592407226563,0.1247406005859375,0.6370620727539063,0.17694091796875,0.1187591552734375,100,4.958076477050781,0.43105316162109375,5.1429443359375,0.579376220703125,1.8109207153320313,0.148773193359375,41640.88073730469,27791.854370117188,225638.68688964844,7669.257629394531,16913207296,18253611008,9321951232,0
200,1740547744746,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.27252197265625,0,0.4321136474609375,0.26738739013671875,0,100,1.7821578979492188,0.02562713623046875,1.3791580200195313,0,1.8055877685546875,0,41641.01953125,27797.329162597656,225643.86303710938,7669.257629394531,16913207296,18253611008,9321619456,0
3,1740547744947,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.4551315307617188,0,0.28955841064453125,0,1.7072296142578125,7.309806823730469,4.4602508544921875,0,0.38898468017578125,0.297882080078125,8.383621215820313,0.06502532958984375,41641.16931152344,27798.494689941406,225644.8651123047,7669.257629394531,16913207296,18253611008,9200668672,0
