Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740539798202,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,22.93315887451172,20.580078125,31.823081970214844,19.805709838867188,53.30956268310547,13.691131591796875,72.83013916015625,13.78936767578125,53.28085708618164,16.474136352539063,48.34505844116211,19.539718627929688,35906.620178222656,247662.81665039063,189519.72686767578,7489.270080566406,16913207296,18253611008,9223839744,0
198,1740539798204,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,35906.63067626953,247663.11322021484,189519.99670410156,7489.270080566406,16913207296,18253611008,9223172096,0
200,1740539798402,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,19.911712646484375,7.856941223144531,8.9071044921875,2.770660400390625,58.489768981933594,5.6571807861328125,22.254913330078125,3.351837158203125,60.775516510009766,2.6221084594726563,8.754280090332031,87.80471801757813,35906.844665527344,247671.40197753906,189527.8955078125,7489.270080566406,16913207296,18253611008,9264570368,0
199,1740539798602,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.591339111328125,0.01209259033203125,0.48166656494140625,0.172332763671875,23.7578125,2.7705230712890625,6.067924499511719,0.05831146240234375,69.76734161376953,0,0.16388702392578125,23.538864135742188,35907.065856933594,247676.86810302734,189533.04357910156,7489.270080566406,16913207296,18253611008,9497358336,0
200,1740539798802,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.5778350830078125,1.5358352661132813,2.0027542114257813,1.5491180419921875,99.92169189453125,1.2423171997070313,7.354400634765625,1.4564437866210938,4.7626800537109375,1.2325897216796875,1.8884048461914063,1.4472122192382813,35907.263610839844,247682.8612060547,189538.6548461914,7489.270080566406,16913207296,18253611008,9675612160,0
200,1740539799003,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.42757415771484375,0,0,0,95.38815307617188,0,6.3710174560546875,0,0,0,0,0,35907.403381347656,247688.5341796875,189543.994140625,7489.270080566406,16913207296,18253611008,9668829184,0
200,1740539799203,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.3669815063476563,0.346923828125,1.1717376708984375,0.9090423583984375,100,0.28200531005859375,2.2277755737304688,1.4429244995117188,2.43359375,0.215545654296875,1.37591552734375,0.69903564453125,35907.540954589844,247694.5479736328,189549.69805908203,7489.270080566406,16913207296,18253611008,9670799360,0
200,1740539799404,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.0964813232421875,0.37940216064453125,3.8250732421875,0.6289291381835938,100,0.06685638427734375,10.405014038085938,0.2737579345703125,2.8719329833984375,0.07578277587890625,1.5362014770507813,1.062774658203125,35907.689025878906,247700.552734375,189555.35528564453,7489.270080566406,16913207296,18253611008,9656672256,0
200,1740539799604,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.43338775634765625,0.084503173828125,1.1294021606445313,0.10289764404296875,100,0.0785675048828125,1.8444595336914063,0.9003219604492188,1.3180999755859375,0.1367034912109375,0.37430572509765625,0.12354278564453125,35907.82336425781,247706.4022216797,189560.8989868164,7489.270080566406,16913207296,18253611008,9656672256,0
199,1740539799804,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.897819519042969,1.64532470703125,6.934913635253906,6.180549621582031,100,0.3957061767578125,6.008659362792969,2.2488174438476563,14.632675170898438,0.7792282104492188,5.170814514160156,0.5809249877929688,35907.98260498047,247712.7406616211,189566.88439941406,7489.270080566406,16913207296,18253611008,9665138688,0
200,1740539800005,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.6083755493164063,0.711517333984375,1.46197509765625,0.1589508056640625,100,0.15035247802734375,0.7567062377929688,0.9745330810546875,3.42633056640625,0.326995849609375,0.3452911376953125,0.24556732177734375,35908.116943359375,247718.4580078125,189572.2774658203,7489.2978515625,16913207296,18253611008,9660579840,0
199,1740539800205,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.255889892578125,0.32994842529296875,0.6636962890625,2.294281005859375,100,0.07744598388671875,2.0612945556640625,0.209564208984375,3.18017578125,0.44928741455078125,2.3191452026367188,0.13172149658203125,35908.25793457031,247724.54125976563,189578.00469970703,7489.2978515625,16913207296,18253611008,9664995328,0
199,1740539800405,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.8376541137695313,0.36161041259765625,1.581756591796875,1.3185501098632813,100,0.130950927734375,0.7557144165039063,1.2163925170898438,3.1646041870117188,0.45113372802734375,0.8078460693359375,0.316131591796875,35908.3984375,247730.39471435547,189583.5355834961,7489.2978515625,16913207296,18253611008,9664442368,0
200,1740539800605,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.32469940185546875,0.20368194580078125,0.65509033203125,0.204833984375,100,0.14640045166015625,0.7697525024414063,0.36478424072265625,2.2651748657226563,0.35608673095703125,1.3790054321289063,0.16109466552734375,35908.53430175781,247736.24676513672,189589.0577392578,7489.2978515625,16913207296,18253611008,9664442368,0
199,1740539800805,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.6089096069335938,0.23969268798828125,0.37885284423828125,0.3875274658203125,100,0,2.300537109375,0.2724761962890625,3.2779693603515625,0,0.8994522094726563,0.5241928100585938,35908.670471191406,247742.15002441406,189594.65399169922,7489.2978515625,16913207296,18253611008,9664413696,0
199,1740539801005,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.0559005737304688,0.04158782958984375,0.5056381225585938,0.1540985107421875,100,0.055084228515625,2.0146102905273438,0.39472198486328125,2.5884323120117188,0.07152557373046875,0.27921295166015625,0.5554733276367188,35908.80535888672,247748.05657958984,189600.212890625,7489.3193359375,16913207296,18253611008,9664086016,0
199,1740539801206,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.7041244506835938,11.072860717773438,1.8831253051757813,2.2309799194335938,100,1.0374832153320313,3.9235000610351563,1.2401580810546875,4.9937896728515625,1.165191650390625,1.9982223510742188,1.2562408447265625,35908.94561767578,247754.32684326172,189606.1596069336,7489.3193359375,16913207296,18253611008,9663369216,0
199,1740539801406,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.9177017211914063,0,0,0,100,0,0.42535400390625,0,2.3563308715820313,0,0,0,35909.08251953125,247760.03692626953,189611.5008544922,7489.3193359375,16913207296,18253611008,9663311872,0
