Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740541095227,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0,0,13.323738098144531,0,61.345619201660156,0,52.50472640991211,0,45.92500305175781,0,35.43806457519531,3.914215087890625,36841.950256347656,255030.50872802734,195867.92767333984,7519.5670166015625,16913207296,18253611008,9163005952,0
198,1740541095229,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,73.95286560058594,62.57456588745117,86.10639953613281,56.27056884765625,84.10726928710938,65.50382995605469,88.68019104003906,53.23781204223633,100,55.79232406616211,70.41358184814453,60.75606918334961,36841.96405029297,255030.8790283203,195868.30548095703,7519.5670166015625,16913207296,18253611008,9162629120,0
200,1740541095428,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,13.509307861328125,3.3160018920898438,47.414283752441406,0.918609619140625,47.288665771484375,17.272132873535156,28.733139038085938,13.662696838378906,37.45088577270508,1.846221923828125,23.737091064453125,3.9628677368164063,36842.19354248047,255038.04754638672,195875.0873413086,7519.5670166015625,16913207296,18253611008,9197449216,0
200,1740541095628,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.7137451171875,0,94.59970092773438,1.3608856201171875,2.54718017578125,30.639556884765625,1.604583740234375,33.92811584472656,2.6887054443359375,0.1408233642578125,0.9327239990234375,0.6909103393554688,36842.37432861328,255044.87872314453,195881.56176757813,7519.5670166015625,16913207296,18253611008,9218486272,0
200,1740541095829,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,55.52503204345703,11.616851806640625,90.41554260253906,2.7812728881835938,5.7583770751953125,73.31685638427734,11.902595520019531,59.335384368896484,17.040870666503906,2.4890518188476563,66.51970672607422,2.2054367065429688,36842.654846191406,255056.87200927734,195893.20330810547,7519.5670166015625,16913207296,18253611008,9263599616,0
200,1740541096029,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,31.957725524902344,0,67.0806884765625,8.900955200195313,11.996826171875,25.13177490234375,10.504013061523438,24.625747680664063,13.711189270019531,2.3920822143554688,5.8817596435546875,0.29505157470703125,36842.90740966797,255064.54302978516,195900.43975830078,7519.5670166015625,16913207296,18253611008,9271255040,0
200,1740541096230,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,10.585212707519531,0.6838150024414063,99.02131652832031,0,3.3582916259765625,11.249183654785156,1.5522232055664063,0.35608673095703125,0.62738037109375,0.4683074951171875,10.279121398925781,0,36843.189514160156,255070.55828857422,195906.04040527344,7519.5670166015625,16913207296,18253611008,9504829440,0
200,1740541096430,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.9339981079101563,1.448028564453125,93.28543090820313,0.760711669921875,4.621665954589844,16.8016357421875,27.763107299804688,1.515289306640625,3.8671875,0.90496826171875,11.578422546386719,0.8772430419921875,36843.437744140625,255076.9931640625,195912.09991455078,7519.592102050781,16913207296,18253611008,9534943232,0
199,1740541096630,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.5445709228515625,0.1062469482421875,100,0.06943511962890625,1.8766403198242188,6.1938629150390625,1.2654266357421875,0.6559677124023438,0.5435714721679688,0.1208343505859375,0.1378173828125,0.292266845703125,36843.58514404297,255082.23321533203,195916.97259521484,7519.592102050781,16913207296,18253611008,9530216448,0
200,1740541096830,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.7862167358398438,0.38710784912109375,99.97850799560547,0,0.8532028198242188,3.5780105590820313,1.5928726196289063,3.3158721923828125,2.7710952758789063,0,0.6690444946289063,0,36843.734375,255087.4341430664,195921.85900878906,7519.592102050781,16913207296,18253611008,9529745408,0
2,1740541097031,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.4361190795898438,1.8634262084960938,2.4598464965820313,18.733062744140625,6.344329833984375,2.6963424682617188,9.623809814453125,1.761932373046875,8.163551330566406,0.9802627563476563,3.117401123046875,0.8499984741210938,36843.902893066406,255088.83087158203,195923.04132080078,7519.592102050781,16913207296,18253611008,9156341760,0
