Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740541893891,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,30.627723693847656,18.88080596923828,18.82275390625,18.910781860351563,76.39389038085938,25.430397033691406,48.93125915527344,19.26862335205078,61.06472396850586,23.1187744140625,32.503684997558594,39.754295349121094,37419.216857910156,259048.38494873047,199280.27795410156,7536.667785644531,16913207296,18253611008,9242714112,0
199,1740541893892,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,37419.225158691406,259048.4949951172,199280.3721923828,7536.667785644531,16913207296,18253611008,9242562560,0
200,1740541894092,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,29.850502014160156,6.196434020996094,35.30413818359375,5.061637878417969,60.49045181274414,15.814193725585938,42.13462448120117,15.111709594726563,26.78307342529297,4.423377990722656,9.636833190917969,8.798133850097656,37419.50799560547,259055.83520507813,199287.26739501953,7536.707763671875,16913207296,18253611008,9284554752,0
200,1740541894292,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.7909088134765625,0.2724151611328125,94.0512924194336,2.8706130981445313,5.567207336425781,31.37059783935547,4.2757415771484375,32.140167236328125,4.758087158203125,0.1613922119140625,1.9157562255859375,1.5855789184570313,37419.750427246094,259062.7803955078,199293.79357910156,7536.747009277344,16913207296,18253611008,9304924160,0
199,1740541894493,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,42.098793029785156,16.654090881347656,88.61665344238281,5.4462890625,7.950828552246094,72.4753646850586,13.456474304199219,59.21070861816406,27.914878845214844,2.7379074096679688,67.2088623046875,2.3777923583984375,37420.08026123047,259074.61083984375,199305.22088623047,7536.794372558594,16913207296,18253611008,9342582784,0
200,1740541894693,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,24.006996154785156,0.41616058349609375,61.90361022949219,5.230384826660156,5.510871887207031,20.538230895996094,36.60794448852539,12.597709655761719,18.75304412841797,0,8.588157653808594,1.1880722045898438,37420.37634277344,259082.08715820313,199312.2459716797,7536.83251953125,16913207296,18253611008,9382940672,0
199,1740541894893,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,10.655685424804688,0.8999710083007813,98.98405456542969,0,2.9718017578125,13.466773986816406,1.9812164306640625,0.15871429443359375,11.864448547363281,0.46715545654296875,1.1761627197265625,0.3643646240234375,37420.707458496094,259088.18823242188,199317.90606689453,7536.867126464844,16913207296,18253611008,9593581568,0
200,1740541895093,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.308624267578125,4.9622802734375,95.54090881347656,0.8100738525390625,6.1974334716796875,19.47138214111328,3.37542724609375,6.204978942871094,23.35650634765625,3.5837936401367188,8.805320739746094,5.9539794921875,37420.997802734375,259094.6011352539,199323.89923095703,7536.895568847656,16913207296,18253611008,9617776640,0
200,1740541895294,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.4793930053710938,0.3972320556640625,100,0.073760986328125,2.1069793701171875,3.0942459106445313,1.7788772583007813,0.11879730224609375,0.36450958251953125,0.26412200927734375,0.9392318725585938,0.25688934326171875,37421.14001464844,259099.67596435547,199328.609375,7536.922058105469,16913207296,18253611008,9617702912,0
200,1740541895494,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.2937469482421875,1.669342041015625,100,0.2228851318359375,16.745033264160156,3.8639678955078125,9.082847595214844,1.3082733154296875,5.3661956787109375,0.5418472290039063,6.830055236816406,0.8737335205078125,37421.302185058594,259105.63818359375,199334.24340820313,7536.922058105469,16913207296,18253611008,9640923136,0
200,1740541895695,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.6086959838867188,1.4304962158203125,99.79378509521484,0.0969390869140625,1.9016799926757813,1.3119277954101563,1.2870407104492188,0.17768096923828125,1.2095947265625,1.3084793090820313,0.69903564453125,0.21150970458984375,37421.44415283203,259110.67614746094,199338.9344482422,7536.948913574219,16913207296,18253611008,9618661376,0
6,1740541895895,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0,0,40.6333122253418,0,7.2701416015625,2.49090576171875,0,2.9366836547851563,0,10.137985229492188,0,0,37421.61016845703,259114.09399414063,199342.05798339844,7536.948913574219,16913207296,18253611008,9242537984,0
